<?xml version="1.0" encoding="UTF-8"?>
<projects>
	
	<project1>
		<projectType>Kitchen</projectType>
		<pName>Richter Kitchen</pName>
		<fName>Matthew</fName>
		<lName>Richter</lName>
		<email>matt@gorichter.com</email>
		<phone>9085006304</phone>
		<emailOkay>Yes</emailOkay>
		<cost>high</cost>
		<priority>9</priority>
		<startDate>2012-5-1</startDate>
		<jobNotes>Re-due tile floor and add three new custom cabinets</jobNotes>
	</project1>
	
	<project2>
		<projectType>Addition</projectType>
		<pName>Anderson Addition</pName>
		<fName>Chris</fName>
		<lName>Anderson</lName>
		<email>chris@anderson.com</email>
		<phone>4075006304</phone>
		<emailOkay>Yes</emailOkay>
		<cost>medium</cost>
		<priority>7</priority>
		<startDate>2012-6-1</startDate>
		<jobNotes>600 sq ft addition of the family room</jobNotes>
	</project2>
	
	<project3>
		<projectType>Lavatory</projectType>
		<pName>Richter Lavatory</pName>
		<fName>Matthew</fName>
		<lName>Richter</lName>
		<email>matt@gorichter.com</email>
		<phone>9085006304</phone>
		<emailOkay>Yes</emailOkay>
		<cost>high</cost>
		<priority>9</priority>
		<startDate>2012-5-1</startDate>
		<jobNotes>Place new face-frame on the vanity and remove bench seat in shower and re-tile</jobNotes>
	</project3>
	
	<project4>
		<projectType>Roof</projectType>
		<pName>Stokes Roof</pName>
		<fName>Bryan</fName>
		<lName>Stokes</lName>
		<email>bryan@SB.com</email>
		<phone>9086542727</phone>
		<emailOkay>Yes</emailOkay>
		<cost>medium</cost>
		<priority>6</priority>
		<startDate>2012-7-13</startDate>
		<jobNotes>Take off existing two layers and repair any rotten wood</jobNotes>
	</project4>
	
	<project5>
		<projectType>Basement</projectType>
		<pName>Jones Basement</pName>
		<fName>Travis</fName>
		<lName>Jones</lName>
		<email>traivs@jones.com</email>
		<phone>9088393933</phone>
		<emailOkay>Yes</emailOkay>
		<cost>low</cost>
		<priority>8</priority>
		<startDate>2012-8-1</startDate>
		<jobNotes>finish similar to the McKensie job</jobNotes>
	</project5>
	
	<project6>
		<projectType>Addition</projectType>
		<pName>Trivella Addition</pName>
		<fName>Adrienne</fName>
		<lName>Trivella</lName>
		<email>ade@trivella.com</email>
		<phone>9086372524</phone>
		<emailOkay>Yes</emailOkay>
		<cost>high</cost>
		<priority>9</priority>
		<startDate>2012-9-1</startDate>
		<jobNotes>400 square feet off the kitchen, tile floor anderson windows, match exterior</jobNotes>
	</project6>
	
	<project7>
		<projectType>Addition</projectType>
		<pName>Oraschin Addition</pName>
		<fName>David</fName>
		<lName>Oraschin</lName>
		<email>dave@oraschin.com</email>
		<phone>9086270412</phone>
		<emailOkay>Yes</emailOkay>
		<cost>high</cost>
		<priority>5</priority>
		<startDate>2012-11-1</startDate>
		<jobNotes>blow out family room wall and add 600 square foot great room, match exterior</jobNotes>
	</project7>
	
	<project8>
		<projectType>Lavatory</projectType>
		<pName>Mantes Lavatory</pName>
		<fName>Gerry</fName>
		<lName>Mantes</lName>
		<email>gerry@mantes.com</email>
		<phone>9081232930</phone>
		<emailOkay>Yes</emailOkay>
		<cost>medium</cost>
		<priority>7</priority>
		<startDate>2012-6-14</startDate>
		<jobNotes>new toilet, bath tub, vanity and shower</jobNotes>
	</project8>
	
	<project9>
		<projectType>Lavatory</projectType>
		<pName>Smith Lavatory</pName>
		<fName>John</fName>
		<lName>Smith</lName>
		<email>john@smith.com</email>
		<phone>9082549986</phone>
		<emailOkay>Yes</emailOkay>
		<cost>low</cost>
		<priority>8</priority>
		<startDate>2012-7-1</startDate>
		<jobNotes>New shower tile and floor</jobNotes>
	</project9>
	
	<project10>
		<projectType>Roof</projectType>
		<pName>Roth Roof</pName>
		<fName>Joe</fName>
		<lName>Roth</lName>
		<email>joe@roth.com</email>
		<phone>9085317283</phone>
		<emailOkay>Yes</emailOkay>
		<cost>high</cost>
		<priority>8</priority>
		<startDate>2012-8-6</startDate>
		<jobNotes>Roof over existing roof no dumpster required</jobNotes>
	</project10>
	
	<project11>
		<projectType>Lavatory</projectType>
		<pName>Stires Lavatory</pName>
		<fName>Kim</fName>
		<lName>Stires</lName>
		<email>kim@wfb.com</email>
		<phone>9084737272</phone>
		<emailOkay>Yes</emailOkay>
		<cost>high</cost>
		<priority>6</priority>
		<startDate>2012-8-2</startDate>
		<jobNotes>Gut the entire bathroom and replace everything</jobNotes>
	</project11>
	
	<project12>
		<projectType>Addition</projectType>
		<pName>Papio Addition</pName>
		<fName>Matthew</fName>
		<lName>Papio</lName>
		<email>matt@papio.com</email>
		<phone>9736473829</phone>
		<emailOkay>Yes</emailOkay>
		<cost>high</cost>
		<priority>9</priority>
		<startDate>2012-9-4</startDate>
		<jobNotes>new floor, vanity and bath	
Basement,Dill Basement,James,Dill,james@dill.com,9732781166,Yes,high,8,2012-7-9,finish entire basement sheetrock and tile floor with built-ins
	
Basement,Kelly Basement,Jeff,Kelly,jeff@kelly.com,9084738383,Yes,medium,7,2012-9-23,wine closet and sheetrock with cork floor
	
Lavatory,Richdale Lavatory,John,Richdale,john@richdale.com,9734920098,Yes,low,9,2012-9-30,gut entire bathroom new everything with built-in tile shower and new vanity
	
Roof,Hollis Roof,Link,Hollis,link@hollis.com,9085006304,Yes,high,9,2012-7-23,Tear off existing roof replace rotten wood + new gutters
	
Kitchen,Stires Kitchen,Pete,Stires,pete@stires.com,9087776253,Yes,high,7,2012-11-1,all new cabinets conestoga doors and custom island

Kitchen,Mathis Kitchen,Michael,Mathis,mike@mathis.com,9087223314,Yes,low,8,2012-8-2,all new cabinets and wine rack and tile floor
	
Kitchen,Long Kitchen,Tom,Long,tom@long.com,9083764737,Yes,high,9,2012-11-4,new doors and paint job
	
Roof,Monica Roof,James,Monica,james@monica.com,9089874232,Yes,medium,6,2012-6-23,Remove old roof and gutters
